booking_id,rating_text,country,rating_score,pickup_date,rating_date,number_of_passenger,vehicle,booking_departure,booking_destination
1741179,,es,5,2024-01-03 13:00:00,2024-01-04 08:08:00,9,Furgoneta de 14 plazas,Brooklyn,Aeropuerto Newark
1789886,,es,5,2024-01-03 13:00:00,2024-01-03 21:13:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1809339,,es,3,2024-01-03 13:00:00,2024-01-03 20:04:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1820868,,fr,5,2024-01-03 12:00:00,2024-01-03 19:13:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1828730,,es,5,2024-01-03 12:00:00,2024-01-03 19:00:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1830768,,es,5,2024-01-03 12:00:00,2024-01-03 19:34:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1822117,,es,5,2024-01-03 08:45:00,2024-01-03 16:00:00,3,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1813100,,it,5,2024-01-02 19:55:00,2024-01-04 03:09:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1808228,,es,5,2024-01-02 19:00:00,2024-01-03 12:18:00,4,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1810726,En todo momento el chofer estubo en contacto con nosotras. Nos toco Edisson y es un chico muy agradable y atento.Super recomendable,es,5,2024-01-02 18:55:00,2024-01-03 03:49:00,3,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1660584,,es,5,2024-01-02 18:00:00,2024-01-03 01:24:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1785125,,es,5,2024-01-02 18:00:00,2024-01-03 21:50:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1723486,,es,5,2024-01-02 16:00:00,2024-01-02 23:15:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1814723,,es,5,2024-01-02 16:00:00,2024-01-03 00:47:00,2,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1816102,,es,5,2024-01-02 16:00:00,2024-01-03 01:02:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto Newark
1797642,Buen conductor amable y comunicativo.,es,5,2024-01-02 15:30:00,2024-01-02 23:18:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1780979,Perfecto y encantador,es,5,2024-01-02 14:00:00,2024-01-03 09:09:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto Newark
1811317,,br,5,2024-01-02 14:00:00,2024-01-02 21:50:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1782778,Tuvimos que llamar para que el conductor supiese que estabamos fuera esperándole pero porque salimos muy pronto de los controles que no es lo habitual.,es,5,2024-01-02 13:15:00,2024-01-03 08:51:00,4,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1829647,,mx,4,2024-01-02 13:00:00,2024-01-04 00:09:00,4,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1805171,,fr,5,2024-01-02 12:30:00,2024-01-02 19:17:00,3,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1810287,Me enviaron un auto que no era el que decía en la descripción y casi que las maletas no nos entran.,es,2,2024-01-02 10:00:00,2024-01-09 07:08:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1827768,Todo excelente muy puntual y la atención de Francisco al 100,es,5,2024-01-02 09:00:00,2024-01-02 16:07:00,5,Furgoneta de 10 plazas,Manhattan,Aeropuerto JFK
1816045,Muy cómodo y muy tranquilo,es,5,2024-01-02 03:30:00,2024-01-02 10:31:00,2,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1822453,,it,4,2024-01-01 22:00:00,2024-01-05 13:05:00,2,Turismo de 3 plazas,Aeropuerto Newark,Manhattan
1823771,,es,5,2024-01-01 22:00:00,2024-01-03 12:11:00,1,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1828876,el transfer llegó tarde a la recogida y lo llamamos y nos dijo que en 15' venía a por nosotros. Creo que no es correcto. si que me envío un wapps up informando de la recogida. El chofer muy amable y nos explico un poco NY.,es,3,2024-01-01 21:15:00,2024-01-09 15:09:00,3,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1827116,À notre arrivée le coordinateur nous a contacté puis mis en relation avec le chauffeur qui est arrivé peu de temps après notre sortie du terminalTransfert Ok jusqu’à l’hôtel,fr,5,2024-01-01 21:00:00,2024-01-02 12:52:00,4,Vehículo SUV de 6 plazas,Aeropuerto Newark,Manhattan
1829119,,es,5,2024-01-01 20:05:00,2024-01-03 23:20:00,4,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1822901,,es,5,2024-01-01 20:00:00,2024-01-02 03:14:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1821675,Hubo dificultades en ubicar el punto de recogida y eso que se había facilitado dirección exacta del hotel situado en la calle 34 esquina con la décima un establecimiento de una cadena internacional bien conocida. Eso provocó que la recogida fuera 20 minutos después de lo previsto lo que nos hizo llegar con menos margen del esperado al aeropuerto. Para compensar la demora durante la conducción se produjeron algunas maniobras imprudentes.,es,2,2024-01-01 19:00:00,2024-01-03 10:57:00,3,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1823329,,es,4,2024-01-01 19:00:00,2024-01-02 09:51:00,8,Furgoneta de 10 plazas,Aeropuerto JFK,Manhattan
1726435,,it,5,2024-01-01 17:30:00,2024-01-02 01:25:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1790200,,it,5,2024-01-01 16:55:00,2024-01-02 01:32:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1822402,,es,4,2024-01-01 16:15:00,2024-01-02 20:29:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1753296,,es,4,2024-01-01 15:40:00,2024-01-02 00:35:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1807103,,es,5,2024-01-01 15:30:00,2024-01-02 07:05:00,5,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1808960,No ha podido ser mejor. Puntual muy atento y preocupado por dar un buen servicio. Inmejorable.,es,5,2024-01-01 15:05:00,2024-01-02 02:54:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1813993,,es,5,2024-01-01 15:05:00,2024-01-01 22:04:00,3,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1733730,,es,5,2024-01-01 15:00:00,2024-01-01 23:31:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1779758,Súper atento el conductor  willy. Vendría. A n York solamente por tener el traslado con este señor,es,5,2024-01-01 15:00:00,2024-01-01 23:13:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1823584,,ar,5,2024-01-01 15:00:00,2024-01-08 18:56:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1708734,,es,5,2024-01-01 14:00:00,2024-01-02 05:56:00,6,Furgoneta de 10 plazas,Manhattan,Aeropuerto JFK
1647761,,fr,5,2024-01-01 13:30:00,2024-01-01 20:18:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1828970,,br,5,2024-01-01 13:00:00,2024-01-03 10:24:00,2,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1829162,Transfert agréable et efficace. Conducteur très disponible. En groupe cela vaut la peine!,fr,5,2024-01-01 12:00:00,2024-01-04 14:09:00,8,Furgoneta de 10 plazas,Manhattan,Aeropuerto Newark
1818389,,fr,5,2024-01-01 11:30:00,2024-01-01 18:25:00,3,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1829024,,pt,5,2024-01-01 09:00:00,2024-01-02 00:04:00,7,Furgoneta de 10 plazas,Aeropuerto JFK,Manhattan
1760570,Puntualidad y corresía del chofer.,ar,5,2024-01-01 07:30:00,2024-01-01 14:23:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto Newark
1829238,,es,5,2024-01-01 07:05:00,2024-01-02 04:45:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1590362,Buen servicio y puntualidad,es,5,2024-01-01 07:00:00,2024-01-01 14:42:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1733389,Estuvo antes del horario acordado y de trato cordial .Conocimiento de la ruta al aeropuerto para evitar demoras.,es,5,2024-01-01 07:00:00,2024-01-01 14:48:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto LaGuardia
1685892,Se contactó el día previo al traslado he iba informando su ubicación.Nos brindó apoyo en relación al aeropuerto.,es,5,2024-01-01 04:30:00,2024-01-02 15:09:00,3,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1789210,Excelente! El conductor muy buenoo,es,5,2023-12-31 21:30:00,2024-01-01 04:22:00,4,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1760646,Comunicación perfecto trato del conductor excelente y vehículo en buen estado. Recomendado 100%,es,5,2023-12-31 21:15:00,2024-01-01 05:45:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1827461,Le transfert s est hyper bien passé. Le chauffeur était très sympa et nous étions bien content de le trouver à notre arrivée.Et ce d autant plus que je me suis trompée de date pour la réservation et que la plateforme m a trouvé une solution à 22h après 24h de voyage Un grand merci d avoir fait cet effort,fr,5,2023-12-31 21:10:00,2024-01-03 20:31:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Brooklyn
1789942,,fr,5,2023-12-31 21:00:00,2024-01-01 05:44:00,4,Vehículo de 4 plazas,Aeropuerto Newark,Manhattan
